,status,title,links,competition_year,grant_direction,app_number,app_date,implementation_terms,organization,inn,ogrn,summary,target
9,проект не получил поддержку,Межрегиональная проектная школа “Традиции семейных игр народов России”,https://xn--80afcdbalict6afooklqi5o.xn--p1ai/public/application/item?id=dc4fb459-a600-45c4-be83-c6f0bf5d54d5,Второй конкурс 2022,Укрепление межнационального и межрелигиозного согласия,22-2-005252,15.03.2022,01.07.2022 - 30.04.2023,"ЧАСТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ЦЕНТР ИНФОРМАЦИОННЫХ ТЕХНОЛОГИЙ В ОБУЧЕНИИ ""ПОЗНАНИЕ""",4345015012,1034316543140,"Межрегиональная проектная школа ""Традиции семейных игр народов России"" направлена на обучение специалистов в сфере воспитания педагогическим компетенциям в области межнационального сотрудничества, сохранения народных традиций и их применению в воспитании подрастающего поколения, через участие в теоретических и практических занятиях, организацию взаимодействия детей и родителей в сетевом социокультурном проекте по созданию картотеки семейных игр народов России.","Обучение специалистов в сфере воспитания педагогическим компетенциям в области межнационального сотрудничества, сохранения народных традиций и их применения в воспитании подрастающего поколения, через участие в теоретических и практических занятиях, через организацию взаимодействия детей-представителей различных народов РФ и их родителей в сетевом социокультурном проекте по созданию картотеки семейных игр народов России."
10,проект не получил поддержку,Народные модельеры,https://xn--80afcdbalict6afooklqi5o.xn--p1ai/public/application/item?id=90451897-0089-4a98-bc7e-d92252570769,Второй конкурс 2022,Укрепление межнационального и межрелигиозного согласия,22-2-009598,15.03.2022,01.07.2022 - 30.06.2023,ФОНД РАЗВИТИЯ МОЛОДЕЖНОГО ПАРЛАМЕНТАРИЗМА В РЕСПУБЛИКЕ КАРЕЛИЯ,1001990810,1121000000318,"Интерес к народной культуре в Республике Карелия растет, в том числе и интерес к традиционной одежде коренных народов Карелии (https://cyberleninka.ru/article/n/mnogonatsionalnaya-kultura-karelii-i-ee-traditsii/viewer). Так как выставки, лекционные занятия в музеях дают общее представление о традиционной одежде и остаются незафиксированными ни на каких носителях; исследовательские публикации содержат сведения в основном предназначенные для глубокого изучения предмета и бывают сложны для восприятия, и, в тоже время, в республике существует более 300 творческих коллективов, десятки мастеров-ремесленников, представителей национально-культурных обществ, любителей народной культуры, которые нуждаются в доступной информации о традиционной одежде и ее ношении (http://etnocenter.ru/kollektivi/kollektivi-rk/). Цель проекта ""Народные модельеры"" - сохранение традиций национальной культуры коренных жителей Карели через обучение технологий швейного производства традиционного карельского костюма среди молодых дизайнеров одежды и народных творческих коллективов Республики Карелия в 2022-2023 годах.",Сохранение традиций национальной культуры коренных жителей Карели через обучение технологий швейного производства традиционного карельского костюма среди молодых дизайнеров одежды и народных творческих коллективов Республики Карелия в 2022-2023 годах.
11,проект не получил поддержку,Костромская область - территория дружбы,https://xn--80afcdbalict6afooklqi5o.xn--p1ai/public/application/item?id=c0965c5a-d165-4934-83ac-9e52de0e8839,Второй конкурс 2022,Укрепление межнационального и межрелигиозного согласия,22-2-009628,15.03.2022,01.09.2022 - 31.12.2023,"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""КОСТРОМСКОЙ ДОМ НАЦИОНАЛЬНОСТЕЙ""",4401190067,1194400000013,"Сегодня, когда наша страна сталкивается с большими сложностями за пределами своей территории, важно поддерживать мир и благополучие внутри России, стремиться к взаимопониманию и добрососедским отношением между представителями всех национальностей, проживающих здесь. Такую работу необходимо осуществлять как на федеральном уровне, так и в каждом отдельно взятом регионе Российской Федерации.",Совершенствование условий для сохранения культурного многообразия и развития межнациональных отношений на территории Костромской области
12,проект не получил поддержку,Фестиваль народных традиций и нематериального наследия «Вселенная Байкала» на дальневосточных гектарах,https://xn--80afcdbalict6afooklqi5o.xn--p1ai/public/application/item?id=cfdab3d8-6098-4739-9a83-9e0952ba59a5,Второй конкурс 2022,Укрепление межнационального и межрелигиозного согласия,22-2-010978,15.03.2022,01.07.2022 - 31.10.2022,АССОЦИАЦИЯ ТВОРЧЕСКИХ РАБОТНИКОВ РЕСПУБЛИКИ БУРЯТИЯ,0326555865,1170327011810,"С древности у бурят проводились летние игрища ""Зоохэй наадан"". Обряд был значимой традицией инициации молодежи, он связан с культами матерей-прародительниц. Ключевым моментом праздника считалось изготовление саламата («Шаначан зоохэй»)– блюдо из сметаны и муки. Молоко и все продукты, произведенные из него, с древнейших времен свято чтятся бурятским населением и называются «белой пищей». Это блюдо, его рецепт и технология приготовления сохранились до наших дней со времен Чингисхана.",Укрепление и развитие межнационального диалога народов Бурятии на основе традиций и обрядов в рамках событийных культурно-массовых мероприятий.
13,проект не получил поддержку,«Ресурсные центры межнационального взаимодействия в Свердловской области»,https://xn--80afcdbalict6afooklqi5o.xn--p1ai/public/application/item?id=72772b03-7133-4f3a-a211-235c8f805a50,Второй конкурс 2022,Укрепление межнационального и межрелигиозного согласия,22-2-010644,15.03.2022,01.07.2022 - 30.06.2023,"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""РЕСУРСНЫЙ ЦЕНТР МЕЖНАЦИОНАЛЬНОГО ВЗАИМОДЕЙСТВИЯ ""ЕВРАЗИЯ""",6658546167,1216600042163,"В не менее, чем 12 муниципальных образований Свердловской области (города Екатеринбург, Краснотурьинск, Серов, Каменск-Уральский, Сухой Лог, Асбест, Алапаевск, Ирбит, Нижний Тагил, Новоуральск, Красноуфимск, Ревда) пройдут не менее 16 мероприятий проекта: 5 онлайн-Круглых столов ""Межкультурный диалог в Свердловской области"" с участием организаторов межнационального взаимодействия Свердловской области - представителей национально-культурных объединений, образовательных организаций, органов исполнительной власти. Северного, Южного, Западного, Восточного и Горнозаводского управленческих округов Свердловской области; Дни культур народов, проживающих на территории Свердловской области в режиме онлайн (не менее 4 дней культур) и Областной онлайн-Фестиваль национальных культур «Мы вместе!», Областной конкурс социального контента «Семейные традиции народов Урала» (три номинации - «Социальный ролик», «Публикация в социальных сетях», «Баннер в социальных сетях» и «Приз зрительских симпатий») охватят представителей национально-культурных объединений, студентов из числа национальной молодежи и их семьи и 5 онлайн-семинаров по обучению социальному проектирования для представителей молодежных национально-культурных объединений Северного, Южного, Западного, Восточного и Горнозаводского управленческих округов Свердловской области пройдут для представителей национальной молодежи. В мероприятиях проекта примут участие не менее 1120 участников, о мероприятиях проекта в социальных сетях и СМИ выйдут не менее 98 публикаций, которые соберут не менее 21600 просмотров.","Цель – содействие межнациональному диалогу народов, населяющих Свердловскую область."
14,проект не получил поддержку,Международный христианский форум ”Христианство на Кавказе: традиции и современность”,https://xn--80afcdbalict6afooklqi5o.xn--p1ai/public/application/item?id=09c802df-bf4d-4a31-bbff-32931fe6efd2,Второй конкурс 2022,Укрепление межнационального и межрелигиозного согласия,22-2-004684,15.03.2022,01.07.2022 - 25.12.2022,"ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ГРЕЧЕСКОЕ ОБЩЕСТВО ""ПРОМЕТЕЙ"" РЕСПУБЛИКИ СЕВЕРНАЯ ОСЕТИЯ-АЛАНИЯ",1504014886,1021500001874,"Проект “Международный христианский форум “Христианство на Кавказе: традиции и современность”, посвященный празднованию 1100-летия крещения Алании, является информационно-методической площадкой для постоянного гуманитарного сотрудничества представителей этнокультурных, религиозных, научных, образовательных, некоммерческих организаций, СМИ и органов власти (далее - участники Проекта). Целью сотрудничества является укрепление и развитие культуры и традиций христианства на территории Республики Северная Осетия-Алания, регионов Северо-Кавказского федерального округа и Южного федерального округа. Участниками проекта станут не менее 300 представителей общественных, научных, этнокультурных, религиозных, образовательных организаций, осуществляющих свою деятельность на территории Северо-Кавказского и Южного федеральных округов, а также эксперты из Белоруссии, Армении, Грузии, Сирии, Ливана, Сербии, в том числе из Болгарии, Греции, Египта (в режиме онлайн видео трансляции).","Цель проекта – в течение 6 месяцев 2022 года организовать площадку для постоянного гуманитарного сотрудничества представителей этнокультурных, религиозных, научных, образовательных, некоммерческих организаций, СМИ и органов власти для укрепления и развития культуры и традиций христианства на территории Северо-Кавказского федерального округа и Южного федерального округа."
15,проект не получил поддержку,Фестиваль дружбы народов Республики Татарстан,https://xn--80afcdbalict6afooklqi5o.xn--p1ai/public/application/item?id=65aaf4e9-88ed-496c-9fc8-44b8f486fe1f,Второй конкурс 2022,Укрепление межнационального и межрелигиозного согласия,22-2-008895,15.03.2022,01.07.2022 - 30.06.2023,"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ СПОРТИВНО-ОЗДОРОВИТЕЛЬНЫЙ КОМПЛЕКС ""КАДРЯК"" (ОТ НАЗВАНИЯ СЕЛА КАДРЯКОВО - КАДРЯК АВАЛЫ)",1628010980,1181690088425,"В Республике Татарстан проживает несколько десятков народов и народностей: татары, русские, чуваши, удмурты, марийцы, мордва, башкиры, кряшены и др. Дружба между этими народами, толерантность и терпимость языку, культуре, обычаям, религии других народов, являются основой стабильности, успешности развития Республики. Почему нынче так остро встал вопрос дружбы народов.Национальные противоречия,которые охватили все постсоветское пространство,показывают, настолько они опасны не только для жизни людей,но и существованию самого государства.Здесь следует особо отметить положительный опыт СССР по цациональной политики.Кстати,в этом году исполняется 100 лет основания этого великого государственного образования. Фестиваль дружбы народов, как раз, является самым ярким детищем той эпохи. Уникальность проекта заключается в том,что она масштабна, охватывает деятельность более два десятка Культурно-национальных общин,которые в течении года ,в рамках проекта ,показывают самые лучшие стороны своей национальной самобытности.Проект еще уникален и актуален тем,что поднимает самую острую проблему сегодняшнего дня-решение межнациональных противоречий. Наш проект не рассматривает проведение Фестиваля некой самоцелью ,в виде одноразового акта.Это не решит такую острую проблему,как межнациональные противоречия.Здесь нужна системная ,кропотливая работа,рассчитанная на долгие годы.Цель данного проекта -разработать механизм взаимной повсевдневной работы НКО,Культурно-национальных общин,диаспор и землячеств,Домов дружбы народов,общественности и волонтеров,опираясь на взаимодействие с госструктурами. Проект предполагает возобновить и дальше развивать такие испытанные временем мероприятия :дни культуры определенной нации в масштабах Республики,города ,района ,создать специальную рубрику в периодической печати по проблемам межнациональных отношений,оганизовать выставки народного творчества в различных площадках ,с демонстрацией мастер -классов по изготовлению национальных изделий,по приготовлению национальных блюд. Фестиваль пройдет в два этапа.Первый этап(1.07.2022-25.05.2023.)будет проходить в Г.Наб.Челны""Муниципальное Автономное Учреждение Культуры ""Дом Дружбы Народов Родник"". 22 Культурно национальных общин Закамского региона ,по графику,в течении года ,здесь будут проходить дни национальных культур(7 дней). Финальная часть Фестиваля будет проходить на территории АНО СОК Кадряк 28-29 мая 2023 г.Ожидается около 5000 зрителей.Программа: Конкурс фольклорной песни,Выставка народного творчества.Развлекательная программа. Питание. Проживание и тд. Срок проекта 1.07.2022-.30.06.2023.","Создать условия для более тесного, близкого сближения различных народов, посредством проведения Фестиваля дружбы народов."
16,проект не получил поддержку,Сказки Народов России: Тайны фолианта,https://xn--80afcdbalict6afooklqi5o.xn--p1ai/public/application/item?id=dd59419c-f3cf-4498-b0a5-4c9a224a55c4,Второй конкурс 2022,Укрепление межнационального и межрелигиозного согласия,22-2-006904,15.03.2022,01.07.2022 - 31.03.2023,ФОНД ПОДДЕРЖКИ ОБЩЕСТВЕННЫХ И ЭКОНОМИЧЕСКИХ ОТНОШЕНИЙ С МИРОВЫМ СООБЩЕСТВОМ «ДИАЛОГ С МИРОМ»,9721072784,1187700021640,"Проект ""Сказки народов России: Тайны фолианта"" направлен на укрепление дружбы между народами РФ, популяризацию их культуры, традиций и сказочного творчества через представление народных сказок посредством классической театральной постановки на натуре, аэросъемки и использования 2D и 3D графики детям 3-9 лет на каналах YouTube, ВК, Инстаграм. Язык сказок - русский, титры- на национальном языке.","Создание первых 10-ти эпизодов из цикла «Сказки народов России: Тайны фолианта» с участием профессиональных актеров (взрослых и детей) в студиях и на натуре с использованием аэросъемки, компьютерной графики и технологии дополненной реальности в период с 1 июля 2022 по 31 марта 2023 года с выходом в эфир первого эпизода не позднее 10 сентября 2022 года и последнего не позднее 10 марта 2023 года на каналах YouTube, ВК и Инстаграм с потенциальным охватом аудитории в 1 млн. человек."
17,проект не получил поддержку,Культура народов Кубани,https://xn--80afcdbalict6afooklqi5o.xn--p1ai/public/application/item?id=d17224d7-93f8-4752-853f-de734302ec8f,Второй конкурс 2022,Укрепление межнационального и межрелигиозного согласия,22-2-009481,15.03.2022,01.07.2022 - 30.11.2022,"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""ЦЕНТР РАЗВИТИЯ КУЛЬТУРЫ И ТУРИЗМА ""НОВЫЙ ВЗГЛЯД""",5024184003,1185000001108,"Согласно Указу Президента России от 30.12.2021 № 745 в нашей стране 2022 год объявлен: «Годом культурного наследия народов России». Краснодарский край выделяется среди других регионов России своей многонациональностью, разнообразным полиэтническим составом. На территории края проживает более 120 национальностей, что формирует уникальную многонациональную культуру на территории южного региона. Проведение на территории края мероприятий, способствующих сохранению культурного наследия народов Кубани, дружбы народов, как никогда актуально сегодня.",Создание информационных материалов для развития дружественных межнациональных отношений молодых представителей народов Кубани
18,проект не получил поддержку,«НАЦИОНАЛЬНЫЕ КОСТЮМЫ – УНИКАЛЬНОСТЬ!»,https://xn--80afcdbalict6afooklqi5o.xn--p1ai/public/application/item?id=23430910-8509-4d2d-83ab-d4e67c69ccb9,Второй конкурс 2022,Укрепление межнационального и межрелигиозного согласия,22-2-008229,15.03.2022,15.07.2022 - 01.11.2022,"ТЕРРИТОРИАЛЬНОЕ ОБЩЕСТВЕННОЕ САМОУПРАВЛЕНИЕ ""ПРИДОРОЖНЫЙ"" С. ЛЕВЧУНОВКА",3418102691,1093400007535,"Непосредственные благополучатели проекта – жители поселка всех категорий населения: дети дошкольного и школьного возраста, молодежь, трудоспособное население, лица третьего возраста, люди поселения с ограниченными возможностями здоровья, а также участники творческих коллективов и клубных объединений.","Привлечение населения к активному участию в культурной жизни родного края, развитие хорового любительского творчества и популяризация народной песенной культуры и самобытного народного творчества."
19,проект не получил поддержку,Приграничное Забайкалье -На границе начинается Россия!,https://xn--80afcdbalict6afooklqi5o.xn--p1ai/public/application/item?id=85eb9600-4636-44e0-ba4d-7ce158486d73,Второй конкурс 2022,Укрепление межнационального и межрелигиозного согласия,22-2-008240,15.03.2022,01.07.2022 - 28.02.2023,"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ПО ОКАЗАНИЮ УСЛУГ В СФЕРЕ КУЛЬТУРЫ И ИСКУССТВА ""КУЛЬТУРА+""",8002021480,1187500000434,"Настоящий проект - это продолжение проекта ""В нас сила земли забайкальской"" - победителя конкурса ФПГ 2019 года. Предложения о продолжении проекта в расширенном формате начали поступать уже в ходе реализации проекта, ведь в 2019 году мы смогли принять только 5 приграничных районов, хотя районов, желающих участвовать в проекте было много больше. 2020-2021 гг. укрепили идею продолжения проекта. Мы поняли, что такой проект, объединяющий именно приграничные территории Забайкалья, необходим. Проект станет более расширенным по объему, содержанию, географии (это будет открытый межрайонный проект с участием не менее 10 приграничных районов Забайкальского края и Республики Бурятия) - новое в проекте.","Укрепление межнациональной дружбы, межрелигиозного согласия и межкультурного диалога населения приграничных районов Забайкальского края и осознания ценности родной приграничной земли для всей страны, укрепление связи с родной землей"
